AF_APPLETALK : AddressFamily.AF_APPLETALK
AF_ASH : AddressFamily.AF_ASH
AF_ATMPVC : AddressFamily.AF_ATMPVC
AF_ATMSVC : AddressFamily.AF_ATMSVC
AF_AX25 : AddressFamily.AF_AX25
AF_BLUETOOTH : AddressFamily.AF_BLUETOOTH
AF_BRIDGE : AddressFamily.AF_BRIDGE
AF_CAN : AddressFamily.AF_CAN
AF_DECnet : 12
AF_ECONET : AddressFamily.AF_ECONET
AF_INET : AddressFamily.AF_INET
AF_INET6 : AddressFamily.AF_INET6
AF_IPX : AddressFamily.AF_IPX
AF_IRDA : AddressFamily.AF_IRDA
AF_KEY : AddressFamily.AF_KEY
AF_LLC : AddressFamily.AF_LLC
AF_NETBEUI : AddressFamily.AF_NETBEUI
AF_NETLINK : AddressFamily.AF_ROUTE
AF_NETROM : AddressFamily.AF_NETROM
AF_PACKET : AddressFamily.AF_PACKET
AF_PPPOX : AddressFamily.AF_PPPOX
AF_RDS : AddressFamily.AF_RDS
AF_ROSE : AddressFamily.AF_ROSE
AF_ROUTE : AddressFamily.AF_ROUTE
AF_SECURITY : AddressFamily.AF_SECURITY
AF_SNA : AddressFamily.AF_SNA
AF_TIPC : AddressFamily.AF_TIPC
AF_UNIX : AddressFamily.AF_UNIX
AF_UNSPEC : AddressFamily.AF_UNSPEC
AF_WANPIPE : AddressFamily.AF_WANPIPE
AF_X25 : AddressFamily.AF_X25
AI_ADDRCONFIG : 32
AI_ALL : 16
AI_CANONNAME : 2
AI_NUMERICHOST : 4
AI_NUMERICSERV : 1024
AI_PASSIVE : 1
AI_V4MAPPED : 8
AddressFamily : <enum 'AddressFamily'>
BDADDR_ANY : 00:00:00:00:00:00
BDADDR_LOCAL : 00:00:00:FF:FF:FF
BTPROTO_HCI : 1
BTPROTO_L2CAP : 0
BTPROTO_RFCOMM : 3
BTPROTO_SCO : 2
CAN_BCM : 2
CAN_BCM_RX_CHANGED : 12
CAN_BCM_RX_DELETE : 6
CAN_BCM_RX_READ : 7
CAN_BCM_RX_SETUP : 5
CAN_BCM_RX_STATUS : 10
CAN_BCM_RX_TIMEOUT : 11
CAN_BCM_TX_DELETE : 2
CAN_BCM_TX_EXPIRED : 9
CAN_BCM_TX_READ : 3
CAN_BCM_TX_SEND : 4
CAN_BCM_TX_SETUP : 1
CAN_BCM_TX_STATUS : 8
CAN_EFF_FLAG : 2147483648
CAN_EFF_MASK : 536870911
CAN_ERR_FLAG : 536870912
CAN_ERR_MASK : 536870911
CAN_RAW : 1
CAN_RAW_ERR_FILTER : 2
CAN_RAW_FILTER : 1
CAN_RAW_LOOPBACK : 3
CAN_RAW_RECV_OWN_MSGS : 4
CAN_RTR_FLAG : 1073741824
CAN_SFF_MASK : 2047
CAPI : <capsule object "_socket.CAPI" at 0x7ff59afe0840>
CMSG_LEN : <built-in function CMSG_LEN>
CMSG_SPACE : <built-in function CMSG_SPACE>
EAGAIN : 11
EAI_ADDRFAMILY : -9
EAI_AGAIN : -3
EAI_BADFLAGS : -1
EAI_FAIL : -4
EAI_FAMILY : -6
EAI_MEMORY : -10
EAI_NODATA : -5
EAI_NONAME : -2
EAI_OVERFLOW : -12
EAI_SERVICE : -8
EAI_SOCKTYPE : -7
EAI_SYSTEM : -11
EBADF : 9
EWOULDBLOCK : 11
HCI_DATA_DIR : 1
HCI_FILTER : 2
HCI_TIME_STAMP : 3
INADDR_ALLHOSTS_GROUP : 3758096385
INADDR_ANY : 0
INADDR_BROADCAST : 4294967295
INADDR_LOOPBACK : 2130706433
INADDR_MAX_LOCAL_GROUP : 3758096639
INADDR_NONE : 4294967295
INADDR_UNSPEC_GROUP : 3758096384
IPPORT_RESERVED : 1024
IPPORT_USERRESERVED : 5000
IPPROTO_AH : 51
IPPROTO_DSTOPTS : 60
IPPROTO_EGP : 8
IPPROTO_ESP : 50
IPPROTO_FRAGMENT : 44
IPPROTO_GRE : 47
IPPROTO_HOPOPTS : 0
IPPROTO_ICMP : 1
IPPROTO_ICMPV6 : 58
IPPROTO_IDP : 22
IPPROTO_IGMP : 2
IPPROTO_IP : 0
IPPROTO_IPIP : 4
IPPROTO_IPV6 : 41
IPPROTO_NONE : 59
IPPROTO_PIM : 103
IPPROTO_PUP : 12
IPPROTO_RAW : 255
IPPROTO_ROUTING : 43
IPPROTO_RSVP : 46
IPPROTO_SCTP : 132
IPPROTO_TCP : 6
IPPROTO_TP : 29
IPPROTO_UDP : 17
IPV6_CHECKSUM : 7
IPV6_DSTOPTS : 59
IPV6_HOPLIMIT : 52
IPV6_HOPOPTS : 54
IPV6_JOIN_GROUP : 20
IPV6_LEAVE_GROUP : 21
IPV6_MULTICAST_HOPS : 18
IPV6_MULTICAST_IF : 17
IPV6_MULTICAST_LOOP : 19
IPV6_NEXTHOP : 9
IPV6_PKTINFO : 50
IPV6_RECVDSTOPTS : 58
IPV6_RECVHOPLIMIT : 51
IPV6_RECVHOPOPTS : 53
IPV6_RECVPKTINFO : 49
IPV6_RECVRTHDR : 56
IPV6_RECVTCLASS : 66
IPV6_RTHDR : 57
IPV6_RTHDRDSTOPTS : 55
